,Unnamed: 0,id,uni_id,contour,,,uni_id
0,0,1,n1,"[[6851, 6437], [6855, 6469], [6842, 6468], [6847, 6520], [6843, 6520], [6856, 6658], [6851, 6657], [6848, 6683], [6855, 6706], [6864, 6758], [6872, 6775], [6873, 6787], [6882, 6804], [6892, 6851], [6900, 6868], [6907, 6898], [6915, 6914], [6919, 6932], [6916, 6933], [6917, 6945], [6925, 6962], [6939, 7027], [6984, 7141], [6992, 7153], [6998, 7171], [7269, 6812], [7260, 6794], [7244, 6744], [7217, 6712], [7211, 6701], [7200, 6685], [7191, 6668], [7142, 6611], [7137, 6612], [7127, 6602], [7119, 6603], [7095, 6567], [7090, 6567], [7081, 6552], [7076, 6552], [7066, 6528], [7057, 6529], [7047, 6505], [7036, 6507], [7028, 6487], [7006, 6485], [6996, 6453]]",,,n1
1,1,2,s9_n2,"[[4401, 2802], [4538, 3168], [4581, 3262], [4628, 3390], [4620, 3380], [4651, 3460], [4990, 4189], [5029, 4258], [5044, 4260], [5061, 4284], [5168, 4299], [5164, 4277], [5180, 4301], [5208, 4305], [5228, 4339], [5241, 4341], [5235, 4309], [5226, 4286], [5218, 4252], [5225, 4253], [5219, 4210], [5239, 4211], [5230, 4127], [5218, 4064], [5210, 3999], [5170, 3893], [5146, 3833], [5124, 3794], [5097, 3734], [5037, 3543], [5012, 3466], [4962, 3362], [4918, 3293], [4870, 3192], [4816, 3095], [4786, 3031], [4640, 2787], [4632, 2790], [4598, 2736]]",,,n2
2,2,3,s4_n3,"[[7147, 3829], [7149, 3874], [7136, 3875], [7173, 4068], [7170, 4108], [7304, 5061], [7316, 5106], [7359, 5093], [7361, 5044], [7372, 5089], [7468, 5060], [7475, 5090], [7504, 5082], [7505, 5049], [7495, 4954], [7496, 4905], [7493, 4873], [7494, 4824], [7467, 4572], [7454, 4528], [7432, 4361], [7416, 4326], [7385, 4113], [7345, 3906], [7340, 3848], [7328, 3810]]",,,s4_n3
3,3,4,n4,"[[7776, 6358], [7778, 6378], [7775, 6378], [7779, 6391], [7780, 6411], [7786, 6430], [7788, 6463], [7794, 6481], [7795, 6513], [7800, 6532], [7803, 6551], [7807, 6563], [7808, 6582], [7818, 6613], [7819, 6632], [8022, 6443], [8017, 6444], [7981, 6379], [7975, 6360], [7969, 6348], [7960, 6350], [7950, 6332]]",,,n4
4,4,5,n5,[],,,n5
5,5,6,s13_n6,"[[6516, 7345], [6509, 7328], [6506, 7310], [6482, 7246], [6480, 7234], [6344, 6952], [6324, 6918], [6255, 6780], [6233, 6746], [6217, 6714], [6201, 6690], [6197, 6689], [6175, 6655], [6170, 6652], [6148, 6618], [6145, 6617], [6128, 6593], [6123, 6591], [6103, 6558], [6098, 6556], [6076, 6522], [5962, 6478]]",,,n6
6,6,7,n7,"[[8031, 2885], [8030, 2976], [8016, 2975], [8012, 3177], [8004, 3178], [8002, 3251], [7978, 4242], [7971, 4292], [7956, 4343], [7963, 4471], [7969, 4471], [7975, 4518], [7981, 4517], [7988, 4549], [8009, 4548], [8011, 4517], [8027, 4516], [8032, 4469], [8148, 4459], [8141, 4509], [8162, 4507], [8160, 4541], [8190, 4538], [8215, 4453], [8235, 4402], [8334, 3475], [8333, 3435], [8336, 3371], [8305, 3196], [8298, 3124], [8292, 3125], [8233, 2870]]",,,n7
7,7,8,s8_n8,"[[4551, 2231], [4587, 2284], [4628, 2368], [4744, 2329], [4794, 2410], [4810, 2409], [4776, 2318], [4791, 2313], [4759, 2226], [4767, 2223], [4749, 2165], [4755, 2163], [4712, 2083], [4679, 1994], [4552, 1603], [4547, 1438]]",,,s8_n8
8,8,9,n9,"[[6879, 7210], [6880, 7223], [6875, 7224], [6877, 7243], [6874, 7244]]",,,n9
9,9,10,s14_n10,"[[5825, 6150], [5847, 6184], [5851, 6185], [5840, 6155], [5846, 6158], [5835, 6128], [5844, 6131], [5828, 6099], [5823, 6080], [5807, 6048], [5789, 5998], [5704, 5827], [5693, 5798], [5575, 5563], [5559, 5539], [5543, 5507], [5501, 5440], [5475, 5387], [5453, 5352]]",,,n10
