,Unnamed: 0,id,uni_id,contour
0,0,1,s1_n18,[]
1,1,2,s2_n15,"[[4546, 3064], [4562, 3117], [4644, 3358], [4671, 3412], [4742, 3609], [4769, 3657], [5357, 4723], [5352, 4703], [5428, 4731], [5445, 4756], [5493, 4774], [5519, 4811], [5561, 4827], [5545, 4793], [5495, 4655], [5502, 4655], [5478, 4589], [5492, 4589], [5477, 4550], [5482, 4550], [5426, 4376], [5393, 4299], [5379, 4253], [5199, 3764], [5166, 3714], [5121, 3632], [5050, 3538], [5032, 3506], [5000, 3458], [4972, 3396], [4805, 3063]]"
2,2,3,s3,"[[5640, 4974], [5650, 5005], [5641, 5001], [5649, 5031], [5676, 5087], [5687, 5118], [5704, 5151], [5721, 5230], [5732, 5252], [5752, 5332], [5769, 5365], [6400, 6233], [6403, 6232], [6398, 6209], [6392, 6194], [6382, 6145], [6376, 6130], [6353, 6016], [6358, 6014], [6345, 5948], [6336, 5926], [6335, 5908], [6138, 5425], [6124, 5407], [6110, 5377], [6092, 5349], [6078, 5317], [6073, 5319], [6041, 5269], [6036, 5270], [5986, 5190], [5982, 5191], [5862, 4999], [5852, 5002], [5835, 4971]]"
3,3,4,s4_n3,"[[4510, 1710], [4499, 1709], [4526, 1763], [4556, 1843], [4549, 1843], [4590, 1924], [4606, 1977], [4894, 2634], [4958, 2762], [5030, 2757], [5009, 2679], [5133, 2671], [5119, 2619], [5135, 2618], [5031, 2254], [4822, 1712]]"
4,4,5,s5,"[[6901, 5942], [6905, 5966], [6898, 5966], [6899, 5982], [6915, 6029], [6916, 6044], [6932, 6091], [6934, 6107], [6942, 6131], [6946, 6154], [6953, 6178], [6959, 6217], [6971, 6256], [6977, 6280], [6989, 6319], [6993, 6342], [7001, 6366], [7005, 6389], [7018, 6429], [7023, 6452], [7286, 6878], [7286, 6865], [7290, 6852], [7288, 6809], [7291, 6796], [7289, 6693], [7292, 6679], [7287, 6667], [7279, 6502], [7275, 6493], [7243, 6404], [7233, 6388], [7223, 6361], [7213, 6345], [7207, 6328], [7199, 6312], [7178, 6255], [7158, 6216], [7129, 6130], [7118, 6106], [7112, 6091], [7102, 6067], [7082, 6005], [7070, 5981], [7065, 5965], [7061, 5965], [7051, 5942]]"
5,5,6,s6_n14,"[[6471, 2934], [6487, 2977], [6502, 3041], [6530, 3039], [6522, 2973], [6535, 2972], [6532, 2928], [6602, 2924], [6615, 2968], [6637, 2966], [6627, 2744], [6467, 2163], [6450, 2104], [6419, 1866], [6398, 1777], [6367, 1539], [6346, 1450], [6335, 1361]]"
6,6,7,s7,[]
7,7,8,s8_n8,"[[7503, 3955], [7500, 3989], [7488, 3990], [7490, 4079], [7484, 4080], [7488, 4112], [7482, 4113], [7488, 4223], [7481, 4223], [7463, 4343], [7459, 4344], [7456, 4376], [7449, 4398], [7403, 4892], [7404, 4924], [7399, 4977], [7401, 5009], [7404, 5008], [7414, 5177], [7411, 5209], [7414, 5209], [7418, 5261], [7415, 5293], [7415, 5325], [7436, 5323], [7444, 5290], [7459, 5288], [7467, 5255], [7585, 5240], [7587, 5272], [7604, 5270], [7609, 5216], [7615, 5184], [7620, 5130], [7627, 5097], [7662, 4722], [7661, 4690], [7672, 4572], [7671, 4551], [7674, 4519], [7670, 4466], [7673, 4434], [7673, 4402], [7678, 4349], [7641, 3980], [7637, 3980], [7627, 3947]]"
8,8,9,s9,"[[6848, 1857], [6848, 2007], [6855, 2090], [6856, 2146], [6850, 2147], [6857, 2230], [6858, 2311], [7021, 3176], [7115, 3473], [7137, 3471], [7130, 3406], [7143, 3405], [7134, 3340], [7236, 3331], [7256, 3394], [7263, 3394], [7281, 3458], [7287, 3457], [7274, 3393], [7267, 3328], [7231, 3157], [7227, 3114], [7177, 2878], [7159, 2814], [7047, 2217], [7030, 2136], [7025, 2080], [7001, 1913], [6995, 1914], [6984, 1858]]"
9,9,10,s10_n16,"[[4783, 3709], [4755, 3660], [4723, 3572], [4731, 3571], [4694, 3492]]"
