,contours
0,[]
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,"[[[3029, 5168], [3176, 5165]], [[3249, 5053], [3376, 5039], [3244, 5330]], [[3561, 4893]], [[3449, 2862], [3457, 2770], [3763, 2640], [3782, 2744]], [[3638, 3904], [3682, 4127], [3460, 4195], [3479, 3944]], [[4061, 3652], [4042, 3774], [3703, 3831], [3791, 3724]], [[2626, 2694], [2615, 2609], [2912, 2524], [2960, 2639]], [[2189, 3101], [2027, 2782], [2375, 2838], [2499, 3046]]]"
11,"[[[3028, 5169], [3176, 5170]], [[3251, 5052], [3376, 5039], [3245, 5330]], [[3561, 4893]], [[3410, 2896], [3419, 2834], [3745, 2718], [3766, 2826]], [[3777, 3676], [3813, 3588]], [[3662, 3845], [3715, 4096], [3484, 4199], [3498, 3932]], [[2613, 2712], [2590, 2604], [2894, 2500], [2946, 2648]], [[2367, 2786], [2467, 2993]], [[2131, 3006], [1936, 2524], [2416, 2731], [2475, 3186]]]"
12,"[[[3028, 5169], [3176, 5170]], [[3251, 5052], [3376, 5039], [3245, 5330]], [[3561, 4893]], [[3802, 3691], [3844, 3597]], [[3399, 2862], [3420, 2822], [3688, 2742], [3690, 2799]], [[3697, 3839], [3737, 4069], [3501, 4164], [3509, 3915]], [[2613, 2778], [2588, 2661], [2873, 2567], [2929, 2697]], [[2107, 3059], [2316, 2721], [2422, 3004]], [[2184, 2916], [2156, 2768], [2506, 3176], [2333, 3350]]]"
13,"[[[3028, 5169], [3175, 5170]], [[3249, 5053], [3376, 5039], [3245, 5330]], [[3561, 4893]], [[2597, 2731], [2577, 2637], [2852, 2527], [2898, 2659]], [[3370, 2867], [3374, 2791], [3678, 2605], [3735, 2753]], [[3820, 3701], [3869, 3599]], [[3709, 3802], [3744, 4018], [3528, 4137], [3529, 3931]], [[2314, 2823], [2398, 3024]], [[4013, 3051], [4031, 2792]]]"
14,"[[[3028, 5169], [3175, 5170]], [[3249, 5053], [3376, 5039], [3245, 5330]], [[3561, 4893]], [[2596, 2732], [2577, 2637], [2852, 2527], [2900, 2658]], [[3367, 2868], [3374, 2791], [3676, 2606], [3735, 2753]], [[3824, 3693], [3871, 3591]], [[3719, 3794], [3750, 4026], [3523, 4148], [3527, 3925]], [[2313, 2809], [2396, 3025]], [[4018, 3051], [4033, 2826]]]"
15,"[[[3031, 5178], [3175, 5170]], [[3249, 5053], [3376, 5039], [3244, 5330]], [[3561, 4893]], [[3846, 3717], [3903, 3633]], [[2563, 2744], [2559, 2658], [2837, 2546], [2884, 2667]], [[3295, 1574], [3295, 1574], [3295, 1574], [3295, 1574]], [[3747, 3892], [3770, 4084], [3532, 4181], [3537, 3962]], [[2291, 2859], [2356, 3014]], [[2546, 2087], [2409, 2091], [2485, 1807], [2576, 1838]]]"
