,contour
0,"[[3589, 5113], [3712, 5125]]"
1,"[[3560, 4601], [3690, 4593], [3704, 4949], [3582, 4956]]"
2,"[[4293, 4447], [4422, 4416], [4430, 4704], [4301, 4758]]"
3,"[[2974, 3852], [2830, 3821], [2762, 3493], [2895, 3518]]"
4,"[[4064, 5108], [4189, 5109]]"
5,"[[4029, 4189], [4168, 4173], [4175, 4507], [4045, 4521]]"
6,"[[3745, 3828], [3863, 3751], [3891, 3998], [3772, 4036]]"
7,"[[4180, 3271], [4298, 3222], [4341, 3642], [4211, 3681]]"
8,"[[3826, 2745], [3958, 2658], [4036, 3087], [3874, 3113]]"
9,"[[2947, 4788]]"
10,"[[2512, 3482], [2375, 3484], [2316, 3225], [2435, 3213]]"
11,"[[3417, 1775], [3533, 1755], [3586, 1905], [3463, 1909]]"
12,"[[2281, 2372], [2105, 2304], [2050, 2014], [2158, 1988]]"
13,"[[2657, 2124], [2495, 2080], [2443, 1742], [2577, 1789]]"
14,"[[3461, 2388], [3589, 2344], [3658, 2704], [3522, 2733]]"
15,"[[3974, 2061], [4124, 2038], [4257, 2632], [4135, 2646]]"
16,"[[3590, 5113], [3710, 5121]]"
17,"[[3560, 4601], [3690, 4593], [3704, 4949], [3582, 4956]]"
18,"[[4294, 4433], [4423, 4402], [4429, 4687], [4298, 4739]]"
19,"[[4060, 5080], [4189, 5080]]"
20,"[[2981, 3884], [2841, 3867], [2774, 3538], [2905, 3553]]"
21,"[[4032, 4166], [4173, 4153], [4176, 4497], [4043, 4511]]"
22,"[[3739, 3790], [3859, 3712], [3887, 3987], [3774, 4026]]"
23,"[[4178, 3282], [4298, 3233], [4334, 3602], [4209, 3639]]"
24,"[[3821, 2712], [3960, 2658], [4033, 3086], [3873, 3127]]"
25,"[[2519, 3505], [2378, 3507], [2326, 3244], [2440, 3236]]"
26,"[[4042, 2170], [4084, 2122], [4133, 2384], [4160, 2359]]"
27,"[[2936, 4796]]"
28,"[[3420, 1797], [3533, 1777], [3587, 1922], [3466, 1926]]"
29,"[[2667, 2154], [2507, 2110], [2452, 1795], [2585, 1813]]"
30,"[[3586, 5105], [3720, 5124]]"
31,"[[4291, 4406], [4422, 4375], [4427, 4675], [4297, 4719]]"
32,"[[3560, 4601], [3691, 4593], [3704, 4949], [3582, 4956]]"
33,"[[4026, 4146], [4171, 4125], [4174, 4474], [4039, 4492]]"
34,"[[4058, 5063], [4190, 5060]]"
35,"[[2982, 3902], [2846, 3890], [2776, 3549], [2911, 3576]]"
36,"[[3739, 3759], [3856, 3671], [3882, 3972], [3772, 4017]]"
37,"[[4178, 3251], [4288, 3207], [4331, 3571], [4208, 3608]]"
38,"[[3817, 2695], [3961, 2657], [4030, 3074], [3870, 3101]]"
39,"[[2524, 3527], [2386, 3526], [2328, 3267], [2443, 3247]]"
40,"[[3899, 1900], [4136, 1854], [4282, 2555], [4082, 2591]]"
41,"[[2934, 4818]]"
42,"[[3408, 1712], [3523, 1691], [3577, 1868], [3458, 1892]]"
43,"[[2663, 2153], [2520, 2140], [2453, 1821], [2585, 1813]]"
44,"[[3444, 2314], [3578, 2257], [3650, 2653], [3523, 2690]]"
45,"[[3586, 5105], [3719, 5124]]"
46,"[[3558, 4590], [3691, 4593], [3705, 4953], [3582, 4956]]"
47,"[[4292, 4392], [4418, 4361], [4427, 4648], [4296, 4690]]"
48,"[[4028, 4124], [4169, 4111], [4174, 4446], [4037, 4474]]"
49,"[[2992, 3947], [2861, 3948], [2790, 3594], [2919, 3611]]"
50,"[[4058, 5040], [4189, 5040]]"
51,"[[3737, 3749], [3855, 3672], [3880, 3953], [3769, 4003]]"
52,"[[4174, 3241], [4269, 3199], [4328, 3551], [4206, 3588]]"
53,"[[3812, 2679], [3953, 2625], [4023, 3050], [3869, 3075]]"
54,"[[2531, 3550], [2388, 3549], [2334, 3288], [2455, 3280]]"
55,"[[2682, 2184], [2532, 2170], [2459, 1822], [2584, 1814]]"
56,"[[3442, 2313], [3586, 2293], [3650, 2653], [3522, 2691]]"
57,"[[2299, 2414], [2135, 2393], [2034, 2045], [2163, 2044]]"
58,"[[3408, 1736], [3519, 1715], [3571, 1866], [3456, 1892]]"
59,"[[2939, 4849]]"
60,"[[3584, 5105], [3712, 5121]]"
61,"[[3558, 4590], [3691, 4593], [3705, 4953], [3582, 4956]]"
62,"[[4292, 4351], [4418, 4320], [4425, 4596], [4296, 4640]]"
63,"[[4028, 4116], [4168, 4104], [4172, 4425], [4037, 4446]]"
64,"[[4055, 5028], [4191, 5026]]"
65,"[[3000, 3976], [2866, 3971], [2784, 3594], [2916, 3622]]"
66,"[[3734, 3729], [3852, 3652], [3876, 3923], [3768, 3984]]"
67,"[[3810, 2697], [3954, 2642], [4022, 3050], [3868, 3075]]"
68,"[[4173, 3241], [4269, 3199], [4322, 3521], [4204, 3567]]"
69,"[[2536, 3573], [2395, 3570], [2341, 3308], [2464, 3302]]"
70,"[[3898, 1779], [4098, 1742], [4233, 2447], [4085, 2451]]"
71,"[[3428, 2252], [3567, 2192], [3645, 2619], [3516, 2657]]"
72,"[[2677, 2183], [2534, 2170], [2467, 1876], [2597, 1867]]"
73,"[[3588, 5105], [3708, 5117]]"
74,"[[3561, 4606], [3690, 4593], [3704, 4949], [3582, 4956]]"
75,"[[4288, 4331], [4415, 4300], [4427, 4580], [4295, 4621]]"
76,"[[4026, 4110], [4161, 4089], [4171, 4397], [4036, 4417]]"
77,"[[4054, 5015], [4188, 5000]]"
78,"[[2999, 3986], [2868, 3994], [2799, 3639], [2928, 3657]]"
79,"[[3731, 3689], [3846, 3603], [3873, 3893], [3768, 3968]]"
80,"[[3804, 2629], [3950, 2591], [4006, 3018], [3865, 3037]]"
81,"[[4169, 3211], [4255, 3190], [4321, 3522], [4202, 3557]]"
82,"[[2543, 3595], [2402, 3594], [2359, 3334], [2469, 3337]]"
83,"[[4098, 2155], [4033, 2136], [4038, 2098], [4149, 2031]]"
84,"[[3433, 2265], [3578, 2233], [3643, 2602], [3515, 2639]]"
85,"[[2688, 2213], [2540, 2200], [2501, 1935], [2626, 1945]]"
86,"[[3588, 5105], [3706, 5113]]"
87,"[[4288, 4311], [4415, 4279], [4427, 4566], [4294, 4595]]"
88,"[[3558, 4590], [3691, 4593], [3705, 4953], [3582, 4960]]"
89,"[[3006, 4014], [2874, 4025], [2792, 3639], [2921, 3656]]"
90,"[[4025, 4095], [4167, 4075], [4171, 4376], [4035, 4396]]"
91,"[[4052, 4998], [4189, 4996]]"
92,"[[3729, 3669], [3845, 3604], [3869, 3864], [3758, 3927]]"
93,"[[3802, 2612], [3950, 2556], [4002, 3007], [3864, 3024]]"
94,"[[4168, 3211], [4257, 3189], [4315, 3524], [4201, 3547]]"
95,"[[2554, 3628], [2415, 3630], [2359, 3358], [2481, 3358]]"
96,"[[4055, 2038], [4055, 2038], [4082, 2215], [4127, 2147]]"
97,"[[3419, 2223], [3559, 2178], [3636, 2569], [3507, 2606]]"
98,"[[2693, 2253], [2552, 2229], [2499, 1935], [2618, 1943]]"
99,"[[3588, 5105], [3705, 5113]]"
100,"[[3558, 4590], [3691, 4593], [3705, 4953], [3582, 4960]]"
101,"[[4288, 4311], [4414, 4279], [4426, 4571], [4294, 4595]]"
102,"[[3006, 4014], [2874, 4025], [2792, 3639], [2921, 3656]]"
103,"[[4025, 4095], [4163, 4074], [4171, 4369], [4035, 4396]]"
104,"[[4052, 4998], [4189, 4996]]"
105,"[[3729, 3669], [3845, 3604], [3870, 3863], [3758, 3927]]"
106,"[[3802, 2612], [3950, 2556], [4002, 3007], [3864, 3024]]"
107,"[[4168, 3221], [4257, 3189], [4315, 3513], [4201, 3547]]"
108,"[[2554, 3628], [2415, 3630], [2359, 3358], [2481, 3358]]"
109,"[[4048, 2022], [4053, 2002], [4092, 2249], [4129, 2165]]"
110,"[[3419, 2223], [3546, 2136], [3638, 2569], [3507, 2606]]"
111,"[[2693, 2253], [2552, 2229], [2499, 1935], [2618, 1943]]"
112,"[[3586, 5109], [3713, 5121]]"
113,"[[4291, 4275], [4415, 4252], [4428, 4548], [4296, 4580]]"
114,"[[3558, 4590], [3691, 4593], [3705, 4953], [3582, 4960]]"
115,"[[3011, 4043], [2875, 4052], [2797, 3673], [2933, 3702]]"
116,"[[4052, 4980], [4188, 4974]]"
117,"[[4024, 4081], [4159, 4053], [4169, 4354], [4034, 4382]]"
118,"[[3795, 2580], [3943, 2523], [3998, 2975], [3862, 2998]]"
119,"[[3724, 3644], [3836, 3567], [3867, 3834], [3753, 3898]]"
120,"[[2559, 3651], [2420, 3654], [2360, 3370], [2484, 3370]]"
121,"[[4180, 3167], [4322, 3108], [4314, 3493], [4198, 3527]]"
122,"[[3902, 1777], [4099, 1764], [4203, 2365], [4065, 2366]]"
123,"[[3408, 2160], [3538, 2091], [3633, 2553], [3506, 2607]]"
124,"[[3588, 5105], [3710, 5117]]"
125,"[[3558, 4590], [3690, 4593], [3704, 4949], [3582, 4956]]"
126,"[[4288, 4269], [4413, 4239], [4428, 4535], [4298, 4561]]"
127,"[[3020, 4084], [2880, 4085], [2809, 3718], [2947, 3749]]"
128,"[[4051, 4954], [4186, 4953]]"
129,"[[4022, 4051], [4158, 4023], [4168, 4347], [4034, 4375]]"
130,"[[3792, 2581], [3939, 2472], [3994, 2948], [3859, 2959]]"
131,"[[3720, 3627], [3832, 3559], [3865, 3824], [3752, 3888]]"
132,"[[3900, 1822], [4098, 1787], [4203, 2347], [4059, 2350]]"
133,"[[2552, 3652], [2413, 3652], [2360, 3383], [2476, 3383]]"
134,"[[4190, 3135], [4368, 3043], [4312, 3462], [4197, 3496]]"
135,"[[3416, 2182], [3534, 2108], [3629, 2537], [3498, 2573]]"
136,"[[3588, 5105], [3708, 5117]]"
137,"[[3558, 4590], [3690, 4593], [3704, 4949], [3582, 4956]]"
138,"[[4287, 4256], [4414, 4218], [4429, 4529], [4297, 4547]]"
139,"[[3021, 4100], [2876, 4093], [2814, 3741], [2947, 3760]]"
140,"[[4054, 4945], [4185, 4931]]"
141,"[[4020, 4031], [4151, 4002], [4168, 4326], [4034, 4346]]"
142,"[[3865, 1633], [4099, 1582], [4221, 2250], [4010, 2289]]"
143,"[[3790, 2598], [3936, 2508], [3992, 2931], [3858, 2946]]"
144,"[[2557, 3675], [2420, 3676], [2359, 3395], [2483, 3405]]"
145,"[[3714, 3601], [3834, 3547], [3861, 3785], [3747, 3859]]"
146,"[[4193, 3114], [4371, 3013], [4312, 3462], [4193, 3486]]"
147,"[[3405, 2161], [3537, 2133], [3625, 2520], [3495, 2557]]"
148,"[[3584, 5105], [3716, 5121]]"
149,"[[3558, 4590], [3689, 4593], [3704, 4949], [3582, 4956]]"
150,"[[4285, 4202], [4410, 4192], [4426, 4510], [4298, 4520]]"
151,"[[3023, 4124], [2883, 4123], [2816, 3764], [2949, 3783]]"
152,"[[4055, 4922], [4184, 4910]]"
153,"[[4017, 4022], [4152, 4002], [4167, 4312], [4033, 4325]]"
154,"[[2568, 3708], [2435, 3713], [2368, 3427], [2496, 3426]]"
155,"[[3787, 2599], [3941, 2524], [3988, 2915], [3856, 2933]]"
156,"[[3945, 1890], [4054, 1874], [4156, 2323], [4063, 2293]]"
157,"[[3709, 3570], [3829, 3518], [3858, 3765], [3745, 3839]]"
158,"[[4176, 3168], [4260, 3155], [4313, 3440], [4190, 3466]]"
159,"[[3416, 2203], [3526, 2112], [3622, 2504], [3491, 2540]]"
160,"[[3588, 5105], [3715, 5121]]"
161,"[[3558, 4590], [3689, 4593], [3704, 4949], [3582, 4956]]"
162,"[[3023, 4140], [2882, 4139], [2815, 3775], [2955, 3806]]"
163,"[[4285, 4209], [4411, 4172], [4426, 4475], [4298, 4501]]"
164,"[[4055, 4905], [4183, 4888]]"
165,"[[4016, 4012], [4149, 3982], [4167, 4292], [4029, 4319]]"
166,"[[2579, 3742], [2435, 3735], [2375, 3447], [2500, 3449]]"
167,"[[3779, 2515], [3926, 2423], [3991, 2878], [3854, 2908]]"
168,"[[3900, 1844], [4061, 1807], [4187, 2333], [4045, 2335]]"
169,"[[3688, 3490], [3807, 3427], [3854, 3725], [3741, 3799]]"
170,"[[4189, 3124], [4329, 3097], [4309, 3399], [4187, 3425]]"
171,"[[3411, 2183], [3527, 2129], [3618, 2470], [3486, 2524]]"
172,"[[3588, 5105], [3717, 5120]]"
173,"[[3558, 4590], [3690, 4593], [3705, 4953], [3582, 4955]]"
174,"[[3032, 4179], [2892, 4176], [2818, 3798], [2963, 3840]]"
175,"[[4284, 4181], [4409, 4145], [4423, 4449], [4298, 4479]]"
176,"[[4053, 4883], [4182, 4884]]"
177,"[[4017, 4001], [4148, 3991], [4167, 4285], [4030, 4311]]"
178,"[[2582, 3765], [2448, 3772], [2384, 3478], [2507, 3472]]"
179,"[[3680, 3462], [3801, 3406], [3851, 3695], [3739, 3769]]"
180,"[[3779, 2497], [3928, 2440], [3988, 2862], [3852, 2893]]"
181,"[[4205, 3076], [4361, 3019], [4306, 3379], [4184, 3404]]"
182,"[[3858, 1721], [4087, 1678], [4195, 2129], [3995, 2183]]"
183,"[[3399, 2143], [3527, 2111], [3612, 2453], [3486, 2490]]"
184,"[[3588, 5105], [3714, 5121]]"
185,"[[3559, 4590], [3690, 4593], [3705, 4953], [3582, 4955]]"
186,"[[3032, 4179], [2892, 4176], [2818, 3798], [2963, 3840]]"
187,"[[4284, 4181], [4409, 4145], [4423, 4449], [4300, 4479]]"
188,"[[4054, 4883], [4182, 4884]]"
189,"[[4017, 4001], [4146, 3971], [4167, 4285], [4030, 4311]]"
190,"[[2582, 3765], [2448, 3772], [2384, 3478], [2507, 3472]]"
191,"[[3680, 3462], [3801, 3406], [3851, 3695], [3739, 3769]]"
192,"[[3779, 2497], [3928, 2440], [3988, 2862], [3852, 2893]]"
193,"[[4189, 3053], [4283, 2915], [4304, 3390], [4184, 3425]]"
194,"[[3860, 1788], [4094, 1745], [4201, 2146], [3995, 2202]]"
195,"[[3403, 2161], [3526, 2112], [3612, 2435], [3486, 2490]]"
196,"[[3588, 5105], [3712, 5117]]"
197,"[[3559, 4590], [3690, 4593], [3705, 4953], [3582, 4955]]"
198,"[[3033, 4203], [2891, 4192], [2832, 3844], [2973, 3875]]"
199,"[[4053, 4863], [4182, 4864]]"
200,"[[4281, 4153], [4408, 4125], [4423, 4436], [4297, 4459]]"
201,"[[4014, 3993], [4144, 3961], [4166, 4271], [4029, 4297]]"
202,"[[2583, 3776], [2441, 3782], [2381, 3480], [2512, 3494]]"
203,"[[3679, 3462], [3801, 3417], [3849, 3676], [3737, 3759]]"
204,"[[4151, 3011], [4304, 2952], [4301, 3370], [4183, 3394]]"
205,"[[3777, 2498], [3926, 2423], [3987, 2845], [3849, 2878]]"
206,"[[3869, 1892], [4100, 1867], [4201, 2256], [4007, 2272]]"
207,"[[3390, 2106], [3518, 2063], [3610, 2417], [3477, 2458]]"
208,"[[3588, 5105], [3717, 5120]]"
209,"[[3559, 4590], [3690, 4593], [3705, 4953], [3582, 4955]]"
210,"[[4278, 4126], [4407, 4119], [4423, 4402], [4297, 4439]]"
211,"[[3038, 4234], [2901, 4230], [2843, 3890], [2974, 3895]]"
212,"[[4049, 4839], [4182, 4843]]"
213,"[[4014, 3950], [4144, 3920], [4165, 4250], [4029, 4275]]"
214,"[[2597, 3821], [2457, 3830], [2386, 3502], [2518, 3517]]"
215,"[[4139, 2944], [4277, 2872], [4298, 3339], [4182, 3364]]"
216,"[[2017, 1108]]"
217,"[[3851, 1765], [4089, 1723], [4186, 2113], [3982, 2150]]"
218,"[[3776, 2463], [3924, 2405], [3988, 2831], [3843, 2862]]"
219,"[[3657, 3391], [3787, 3369], [3845, 3646], [3734, 3729]]"
220,"[[3587, 5105], [3715, 5121]]"
221,"[[3558, 4590], [3692, 4598], [3704, 4949], [3582, 4956]]"
222,"[[3043, 4266], [2902, 4253], [2839, 3901], [2975, 3913]]"
223,"[[4277, 4112], [4406, 4085], [4422, 4375], [4297, 4404]]"
224,"[[4051, 4833], [4181, 4833], [4057, 5167]]"
225,"[[4014, 3929], [4141, 3900], [4164, 4236], [4028, 4261]]"
226,"[[2604, 3855], [2465, 3854], [2387, 3513], [2518, 3529]]"
227,"[[4136, 2945], [4282, 2818], [4295, 3319], [4177, 3343]]"
228,"[[3769, 2410], [3916, 2352], [3992, 2770], [3839, 2811]]"
229,"[[2012, 1041]]"
230,"[[3651, 3365], [3775, 3331], [3842, 3627], [3732, 3710]]"
231,"[[3899, 1756], [4027, 1734], [4156, 2341], [4075, 2290]]"
232,"[[2315, 2664], [2182, 2685], [2163, 2396], [2297, 2414]]"
233,"[[3588, 5105], [3717, 5120]]"
234,"[[3561, 4606], [3692, 4598], [3704, 4949], [3582, 4956]]"
235,"[[3049, 4297], [2910, 4282], [2836, 3912], [2976, 3940]]"
236,"[[4277, 4091], [4406, 4068], [4421, 4335], [4296, 4363]]"
237,"[[4051, 4823], [4180, 4824], [4188, 5145], [4058, 5149]]"
238,"[[4009, 3921], [4141, 3900], [4162, 4214], [4027, 4240]]"
239,"[[2613, 3889], [2474, 3889], [2392, 3536], [2517, 3541]]"
240,"[[4133, 2911], [4275, 2803], [4291, 3289], [4177, 3323]]"
241,"[[3767, 2411], [3909, 2317], [3990, 2771], [3837, 2811]]"
242,"[[3646, 3344], [3773, 3320], [3839, 3597], [3729, 3669]]"
243,"[[3844, 1563], [4046, 1541], [4144, 2124], [4002, 2126]]"
244,"[[2319, 2694], [2180, 2685], [2189, 2415], [2306, 2415]]"
245,"[[3588, 5105], [3718, 5120]]"
246,"[[3558, 4590], [3692, 4598], [3704, 4949], [3582, 4956]]"
247,"[[3049, 4297], [2910, 4282], [2836, 3912], [2977, 3940]]"
248,"[[4277, 4091], [4407, 4037], [4420, 4334], [4296, 4363]]"
249,"[[4051, 4823], [4180, 4827], [4188, 5145], [4058, 5152]]"
