,contours
0,"[[[3561, 4896]], [[3705, 3136], [3633, 3306], [3332, 3089], [3426, 2869]], [[2507, 3775], [2606, 3692], [2776, 3945], [2683, 4018]], [[4013, 3474]], [[2940, 4618], [3078, 4596], [3149, 4934], [3003, 4949]], [[4058, 3024], [4020, 3193], [3911, 2979], [3987, 2789]], [[3489, 2574], [3445, 2717], [3248, 2446], [3368, 2227]], [[1969, 1931]], [[2720, 1576], [2787, 1577], [2792, 1646]], [[3069, 2541], [2976, 2613], [2829, 2242], [2981, 2276]], [[2675, 1604], [2529, 1611]], [[3129, 1779], [2954, 1827]]]"
1,"[[[3562, 4897]], [[3705, 3136], [3633, 3306], [3332, 3089], [3426, 2869]], [[2507, 3775], [2606, 3692], [2776, 3945], [2683, 4018]], [[4013, 3474]], [[2940, 4618], [3078, 4596], [3149, 4934], [3003, 4949]], [[4072, 3141], [3884, 2954], [3971, 2774]], [[3489, 2574], [3445, 2717], [3248, 2446], [3368, 2227]], [[1967, 1933]], [[2720, 1576], [2787, 1577], [2792, 1646]], [[3069, 2541], [2976, 2613], [2829, 2242], [2981, 2276]], [[2675, 1604], [2529, 1611]], [[3129, 1779], [2954, 1827]]]"
2,"[[[3562, 4897]], [[2498, 3760], [2604, 3709], [2768, 3940], [2674, 4007]], [[4035, 3509]], [[3701, 3120], [3641, 3287], [3356, 3121], [3430, 2916]], [[2935, 4605], [3075, 4582], [3147, 4926], [3004, 4943]], [[4030, 3249], [3894, 3008], [3992, 2756]], [[3534, 2594], [3475, 2747], [3267, 2527], [3356, 2357]], [[3079, 2562], [2986, 2646], [2836, 2275], [2985, 2287]], [[1905, 2046]], [[2802, 1643], [2687, 1622]], [[3133, 1821], [2965, 1875]]]"
3,"[[[3562, 4897]], [[3713, 3142], [3652, 3318], [3363, 3119], [3459, 2883]], [[2489, 3754], [2591, 3695], [2758, 3920], [2665, 3992]], [[4049, 3505]], [[2925, 4596], [3070, 4569], [3147, 4923], [3004, 4938]], [[4045, 3232], [3892, 3050], [3996, 2794]], [[3498, 2545], [3457, 2697], [3275, 2493], [3363, 2296]], [[3086, 2573], [2997, 2655], [2844, 2276], [2989, 2299]], [[1934, 2084], [1915, 2079]], [[2768, 1614], [2690, 1566], [2767, 1565], [2793, 1592]], [[3133, 1895], [2965, 1928]]]"
4,"[[[3562, 4897]], [[3733, 3163], [3662, 3349], [3379, 3128], [3501, 2871]], [[2484, 3747], [2580, 3671], [2753, 3914], [2662, 3994]], [[2916, 4582], [3065, 4556], [3143, 4903], [3001, 4917]], [[4058, 3532]], [[4055, 3199], [3933, 3028], [3997, 2817]], [[3512, 2595], [3488, 2741], [3273, 2494], [3380, 2274]], [[3096, 2582], [3007, 2666], [2846, 2276], [2994, 2280]], [[2804, 1643], [2675, 1604], [2796, 1541]], [[2154, 2044], [2053, 2162]], [[3131, 1866], [2969, 1912]]]"
5,"[[[3561, 4896]], [[3727, 3156], [3668, 3331], [3398, 3137], [3496, 2921]], [[2474, 3732], [2566, 3649], [2740, 3892], [2655, 3974]], [[2912, 4575], [3060, 4539], [3140, 4885], [2996, 4898]], [[4058, 3289], [3879, 3102], [4003, 2826]], [[4077, 3533]], [[3563, 2565], [3524, 2740], [3295, 2589], [3379, 2388]], [[3106, 2592], [3015, 2681], [2852, 2292], [2996, 2302]], [[2176, 2114], [2071, 2281]], [[4078, 2119]], [[2827, 1651], [2673, 1638]], [[3133, 1895], [2972, 1946]]]"
6,"[[[3561, 4896]], [[2464, 3726], [2564, 3657], [2734, 3888], [2647, 3964]], [[3758, 3165], [3688, 3343], [3413, 3174], [3521, 2937]], [[2907, 4569], [3057, 4532], [3137, 4875], [2995, 4887]], [[3576, 2558], [3545, 2747], [3307, 2615], [3390, 2422]], [[4075, 3312], [3893, 3107], [4008, 2870]], [[3114, 2602], [3027, 2692], [2858, 2309], [3004, 2304]], [[2169, 2100], [2062, 2287]], [[2827, 1628], [2676, 1639]]]"
7,"[[[3561, 4896]], [[2454, 3710], [2553, 3642], [2727, 3877], [2639, 3953]], [[2903, 4569], [3054, 4533], [3136, 4864], [2993, 4881]], [[3757, 3174], [3699, 3349], [3417, 3159], [3527, 2935]], [[3534, 2617], [3517, 2756], [3318, 2527], [3410, 2338]], [[3925, 3076], [4018, 2853]], [[3122, 2612], [3035, 2706], [2864, 2326], [3009, 2315]], [[2119, 2014], [2048, 2115]], [[2776, 1529]]]"
8,"[[[3561, 4896]], [[2454, 3710], [2553, 3642], [2727, 3877], [2639, 3953]], [[2896, 4558], [3054, 4533], [3135, 4864], [2994, 4881]], [[3757, 3165], [3698, 3349], [3419, 3158], [3527, 2935]], [[3532, 2628], [3517, 2756], [3320, 2527], [3410, 2338]], [[3927, 3075], [4018, 2853]], [[3122, 2612], [3035, 2706], [2864, 2326], [3009, 2315]], [[2119, 2014], [2047, 2116]]]"
9,"[[[3561, 4896]], [[2436, 3688], [2533, 3621], [2710, 3857], [2619, 3921]], [[3804, 3162], [3735, 3348], [3452, 3163], [3524, 2970]], [[2885, 4545], [3046, 4508], [3129, 4828], [2988, 4850]], [[3558, 2584], [3551, 2745], [3337, 2586], [3432, 2427]], [[3963, 3036], [4017, 2887]], [[3151, 2633], [3059, 2748], [2880, 2359], [3010, 2328]], [[4062, 2088]], [[2829, 1626], [2671, 1637]]]"
