,contours
0,"[[[3366, 4870], [3249, 4854], [3302, 4531], [3438, 4553]], [[3602, 5137], [3725, 5140]], [[3134, 4383], [3003, 4346], [3090, 4081], [3242, 4119]], [[3559, 4590], [3688, 4593], [3705, 4953], [3581, 4956]], [[3823, 4767], [3952, 4779], [3967, 5127], [3838, 5137]], [[4064, 4663], [4186, 4660], [4201, 4977], [4073, 4984]], [[3446, 4142], [3350, 4076], [3488, 3830], [3619, 3926]], [[4294, 4750], [4430, 4700], [4303, 5051]], [[3844, 3615], [3786, 3528], [4016, 3255], [4112, 3321]], [[2713, 2570], [2793, 2726], [2487, 2865], [2408, 2711]], [[3354, 3674], [3259, 3557], [3451, 3403], [3562, 3507]], [[3286, 1820], [3395, 1889], [3288, 2146], [3190, 2114]], [[3884, 3214], [3874, 3126], [4143, 2960], [4269, 3056]], [[2416, 902], [2207, 872]]]"
1,"[[[3366, 4870], [3249, 4854], [3302, 4531], [3438, 4553]], [[3593, 5121], [3726, 5143]], [[3134, 4383], [3003, 4346], [3090, 4081], [3242, 4119]], [[3559, 4590], [3688, 4593], [3705, 4953], [3582, 4956]], [[3823, 4767], [3952, 4779], [3967, 5127], [3838, 5137]], [[4064, 4663], [4186, 4660], [4201, 4977], [4073, 4984]], [[3446, 4142], [3350, 4076], [3488, 3830], [3619, 3926]], [[4294, 4750], [4430, 4700], [4303, 5051]], [[3844, 3615], [3786, 3528], [4016, 3255], [4112, 3321]], [[2709, 2571], [2793, 2726], [2487, 2865], [2408, 2711]], [[3354, 3674], [3259, 3557], [3451, 3403], [3562, 3507]], [[3286, 1820], [3395, 1889], [3288, 2146], [3190, 2114]], [[3884, 3214], [3874, 3126], [4143, 2960], [4269, 3056]], [[2422, 935], [2207, 872]]]"
2,"[[[3367, 4898], [3248, 4876], [3299, 4541], [3434, 4564]], [[3134, 4405], [3004, 4362], [3084, 4081], [3230, 4122]], [[3596, 5133], [3724, 5144]], [[3556, 4590], [3686, 4588], [3704, 4949], [3582, 4956]], [[3822, 4754], [3952, 4776], [3967, 5127], [3837, 5137]], [[4065, 4671], [4186, 4660], [4201, 4977], [4074, 4984]], [[3438, 4143], [3343, 4077], [3482, 3831], [3616, 3926]], [[4295, 4740], [4430, 4686], [4303, 5055]], [[3834, 3621], [3777, 3563], [3993, 3221], [4082, 3320]], [[2732, 2567], [2812, 2708], [2497, 2832], [2410, 2649]], [[3345, 3719], [3236, 3584], [3434, 3385], [3554, 3508]], [[3290, 1795], [3392, 1837], [3301, 2114], [3197, 2104]], [[3880, 3228], [3867, 3154], [4125, 3002], [4255, 3070]], [[2139, 1614], [1911, 1648]], [[2416, 902], [2209, 872]]]"
3,"[[[3366, 4921], [3245, 4893], [3295, 4556], [3431, 4580]], [[3131, 4413], [3002, 4378], [3086, 4113], [3226, 4138]], [[3593, 5117], [3724, 5140]], [[3560, 4595], [3688, 4593], [3706, 4953], [3581, 4956]], [[3822, 4754], [3952, 4776], [3967, 5127], [3838, 5137]], [[4064, 4671], [4186, 4660], [4202, 4977], [4074, 4984]], [[3432, 4151], [3343, 4077], [3478, 3856], [3602, 3934]], [[3829, 3636], [3765, 3566], [3976, 3252], [4056, 3330]], [[4295, 4740], [4430, 4691], [4303, 5055]], [[3337, 3720], [3231, 3586], [3427, 3401], [3549, 3534]], [[2736, 2582], [2820, 2692], [2518, 2845], [2435, 2706]], [[3287, 1750], [3400, 1839], [3305, 2093], [3204, 2065]], [[3878, 3151], [3872, 3074], [4113, 2937], [4192, 3018]], [[2177, 1650], [1936, 1681]], [[2423, 902], [2202, 872]]]"
4,"[[[3136, 4452], [3002, 4418], [3084, 4137], [3231, 4166]], [[3367, 4943], [3245, 4915], [3294, 4571], [3426, 4591]], [[3589, 5117], [3723, 5137]], [[3559, 4595], [3690, 4598], [3706, 4953], [3581, 4956]], [[3822, 4754], [3953, 4776], [3966, 5127], [3837, 5134]], [[4064, 4671], [4186, 4668], [4201, 4977], [4074, 4984]], [[3429, 4160], [3333, 4083], [3455, 3834], [3588, 3935]], [[3817, 3665], [3755, 3567], [3974, 3285], [4050, 3330]], [[4296, 4743], [4431, 4686], [4304, 5051]], [[2753, 2579], [2835, 2691], [2530, 2843], [2454, 2703]], [[3321, 3714], [3231, 3594], [3422, 3415], [3535, 3540]], [[3290, 1725], [3403, 1813], [3312, 2076], [3216, 2065]], [[3844, 3387], [3811, 3247], [4091, 2998], [4192, 3114]], [[2447, 1001], [2224, 970]], [[2106, 1455], [1895, 1472]]]"
5,"[[[3131, 4459], [2998, 4434], [3081, 4153], [3225, 4183]], [[3367, 4956], [3244, 4932], [3294, 4587], [3426, 4601]], [[3590, 5121], [3724, 5137]], [[3557, 4596], [3690, 4598], [3706, 4953], [3581, 4956]], [[3824, 4768], [3953, 4779], [3966, 5127], [3837, 5134]], [[4064, 4687], [4186, 4660], [4201, 4977], [4074, 4984]], [[3427, 4168], [3328, 4100], [3457, 3877], [3583, 3955]], [[3808, 3670], [3746, 3605], [3965, 3289], [4038, 3342]], [[4295, 4740], [4431, 4686], [4304, 5051]], [[2770, 2607], [2846, 2711], [2543, 2837], [2478, 2715]], [[3322, 3731], [3224, 3613], [3401, 3431], [3516, 3526]], [[3293, 1679], [3406, 1786], [3320, 2068], [3221, 2033]], [[3831, 3190], [3829, 3112], [4088, 2999], [4186, 3078]], [[2446, 1034], [2219, 970]]]"
6,"[[[3367, 4974], [3241, 4952], [3291, 4602], [3422, 4612]], [[3589, 5117], [3724, 5137]], [[3131, 4474], [2995, 4450], [3076, 4169], [3219, 4200]], [[3557, 4596], [3689, 4593], [3706, 4953], [3581, 4960]], [[3824, 4768], [3953, 4779], [3966, 5127], [3837, 5137]], [[4064, 4671], [4186, 4660], [4202, 4977], [4074, 4984]], [[3422, 4176], [3322, 4109], [3450, 3917], [3568, 3971]], [[3801, 3686], [3738, 3606], [3954, 3304], [4032, 3355]], [[4295, 4743], [4431, 4690], [4303, 5055]], [[2774, 2576], [2857, 2709], [2547, 2812], [2484, 2683]], [[3324, 3722], [3232, 3609], [3385, 3438], [3513, 3557]], [[3826, 3179], [3821, 3101], [4067, 2972], [4146, 3058]], [[3303, 1698], [3408, 1760], [3326, 2043], [3222, 2000]], [[2426, 968], [2208, 937]]]"
7,"[[[3130, 4489], [2995, 4466], [3067, 4170], [3208, 4193]], [[3591, 5121], [3721, 5134]], [[3369, 4991], [3243, 4969], [3281, 4596], [3419, 4633]], [[3559, 4595], [3689, 4593], [3704, 4949], [3580, 4956]], [[3824, 4768], [3953, 4779], [3966, 5127], [3836, 5135]], [[3419, 4169], [3307, 4081], [3408, 3888], [3457, 3897]], [[4064, 4694], [4186, 4668], [4202, 4977], [4073, 4984]], [[4295, 4743], [4430, 4691], [4303, 5055]], [[3792, 3681], [3731, 3607], [3938, 3294], [4020, 3351]], [[2789, 2573], [2869, 2693], [2568, 2824], [2491, 2682]], [[3315, 3715], [3226, 3604], [3376, 3441], [3490, 3556]], [[3827, 3166], [3817, 3102], [4050, 2961], [4125, 3047]], [[3308, 1674], [3410, 1734], [3333, 2036], [3232, 2000]], [[2413, 902], [2187, 873]]]"
8,"[[[3130, 4489], [2995, 4466], [3067, 4170], [3208, 4193]], [[3591, 5121], [3724, 5137]], [[3370, 4995], [3245, 4973], [3283, 4601], [3419, 4633]], [[3564, 4606], [3690, 4598], [3704, 4949], [3580, 4956]], [[3823, 4767], [3953, 4779], [3966, 5127], [3837, 5137]], [[3419, 4169], [3307, 4081], [3408, 3888], [3457, 3897]], [[4064, 4694], [4186, 4668], [4202, 4977], [4073, 4984]], [[4295, 4743], [4430, 4691], [4303, 5055]], [[3790, 3682], [3733, 3624], [3938, 3294], [4020, 3351]], [[2789, 2573], [2869, 2693], [2568, 2824], [2491, 2682]], [[3316, 3732], [3224, 3613], [3378, 3465], [3498, 3563]], [[3826, 3166], [3819, 3102], [4051, 3005], [4123, 3047]], [[3308, 1674], [3410, 1734], [3333, 2036], [3232, 2000]], [[2411, 902], [2190, 873]]]"
9,"[[[3369, 5030], [3244, 5002], [3273, 4630], [3413, 4660]], [[3122, 4504], [2985, 4483], [3064, 4202], [3201, 4214]], [[3589, 5117], [3722, 5134]], [[3555, 4591], [3687, 4583], [3705, 4953], [3581, 4960]], [[3824, 4768], [3953, 4779], [3965, 5124], [3837, 5134]], [[4064, 4694], [4186, 4668], [4202, 4977], [4073, 4984]], [[3414, 4216], [3299, 4161], [3432, 3937], [3542, 3987]], [[3775, 3724], [3714, 3646], [3912, 3298], [3996, 3377]], [[4295, 4743], [4431, 4690], [4303, 5055]], [[2817, 2584], [2893, 2677], [2606, 2787], [2533, 2722]], [[3287, 3704], [3189, 3613], [3350, 3427], [3460, 3508]], [[3812, 3170], [3808, 3092], [4036, 2995], [4079, 3037]], [[2447, 1001], [2215, 937]], [[3314, 1650], [3413, 1707], [3349, 2012], [3226, 1929]]]"
