,contours
0,"[[[3189, 4711], [3088, 4651], [3170, 4317], [3271, 4352]], [[3383, 2515], [3383, 2515], [3383, 2515], [3383, 2515]], [[2624, 3559], [2725, 3678], [2267, 3666], [2250, 3600]], [[2640, 2999], [2743, 3087], [2502, 3346], [2436, 3263]], [[3116, 2717], [3254, 2871], [3006, 3147], [2917, 3032]], [[3340, 2036], [3473, 2065], [3380, 2379], [3262, 2319]], [[2906, 1847], [2718, 1808], [2765, 1656], [2926, 1648]], [[3042, 2274], [3170, 2436], [2897, 2513], [2889, 2430]]]"
1,"[[[3360, 2529], [3360, 2529], [3360, 2529], [3360, 2529]], [[3182, 4718], [3089, 4679], [3167, 4343], [3268, 4365]], [[2644, 3571], [2729, 3668], [2291, 3674], [2283, 3615]], [[2638, 2966], [2737, 3041], [2486, 3297], [2414, 3222]], [[3135, 2684], [3281, 2840], [3007, 3108], [2922, 2993]], [[3335, 2003], [3472, 2048], [3389, 2379], [3271, 2318]], [[3091, 2317], [3182, 2410], [2905, 2525], [2852, 2442]], [[2824, 1787], [2698, 1784], [2766, 1581], [2920, 1584]], [[2349, 1716], [2456, 1447]], [[2051, 2443], [2166, 2458], [2192, 2463]]]"
2,"[[[3360, 2529], [3360, 2529], [3360, 2529], [3360, 2529]], [[3182, 4718], [3091, 4678], [3167, 4343], [3266, 4366]], [[2653, 3581], [2726, 3668], [2283, 3666], [2274, 3607]], [[2631, 2967], [2737, 3041], [2494, 3308], [2420, 3239]], [[3133, 2684], [3287, 2853], [3003, 3097], [2924, 2993]], [[3342, 2036], [3475, 2065], [3389, 2379], [3270, 2297]], [[3085, 2318], [3185, 2423], [2899, 2525], [2854, 2452]], [[2837, 1784], [2692, 1784], [2746, 1532], [2905, 1522]], [[2349, 1716], [2456, 1447]]]"
3,"[[[3183, 4750], [3092, 4700], [3157, 4358], [3252, 4374]], [[3352, 2563], [3352, 2563], [3352, 2563], [3352, 2563]], [[2661, 3581], [2745, 3667], [2311, 3673], [2296, 3615]], [[3153, 2688], [3294, 2838], [3031, 3127], [2931, 2994]], [[2655, 2931], [2763, 3022], [2499, 3282], [2428, 3214]], [[3333, 2003], [3472, 2048], [3391, 2337], [3276, 2297]], [[2821, 1787], [2692, 1784], [2748, 1557], [2898, 1546]], [[3085, 2301], [3173, 2410], [2908, 2500], [2865, 2441]], [[2332, 1744], [2454, 1408]]]"
4,"[[[3185, 4771], [3083, 4713], [3147, 4378], [3243, 4397]], [[3745, 3996], [3693, 3893], [3855, 3625], [3908, 3734]], [[2683, 3570], [2762, 3666], [2306, 3648], [2312, 3597]], [[2653, 2898], [2764, 3006], [2521, 3292], [2436, 3210]], [[3155, 2670], [3303, 2837], [3030, 3086], [2945, 2992]], [[3340, 2002], [3469, 2015], [3398, 2316], [3278, 2276]], [[2808, 1815], [2747, 1805], [2786, 1580], [2889, 1592]], [[2062, 2395], [2185, 2433], [2116, 2410]], [[2328, 1744], [2447, 1404]]]"
5,"[[[3177, 4772], [3084, 4740], [3143, 4390], [3244, 4420]], [[3738, 4028], [3688, 3922], [3853, 3645], [3908, 3754]], [[2696, 3570], [2790, 3675], [2336, 3655], [2335, 3596]], [[2660, 2897], [2771, 3005], [2523, 3266], [2430, 3191]], [[3155, 2634], [3298, 2793], [3049, 3079], [2944, 2948]], [[3334, 1986], [3469, 2015], [3399, 2295], [3279, 2234]], [[2066, 2426], [2040, 1960]], [[2824, 1812], [2766, 1822], [2757, 1557], [2858, 1551]], [[2349, 1716], [2450, 1406]]]"
6,"[[[3178, 4799], [3078, 4758], [3140, 4406], [3236, 4431]], [[3730, 4047], [3678, 3944], [3846, 3656], [3903, 3765]], [[2728, 3580], [2808, 3674], [2363, 3654], [2359, 3596]], [[3159, 2635], [3306, 2793], [3064, 3073], [2957, 2952]], [[2662, 2880], [2779, 2988], [2538, 3264], [2441, 3167]], [[3344, 2001], [3472, 2014], [3406, 2295], [3286, 2234]], [[2072, 2426], [2089, 2067]]]"
7,"[[[3171, 4816], [3066, 4766], [3135, 4427], [3235, 4463]], [[3711, 4059], [3662, 3978], [3855, 3664], [3918, 3802]], [[3165, 2636], [3322, 2806], [3080, 3067], [2961, 2931]], [[2713, 3525], [2796, 3626], [2373, 3637], [2367, 3565]], [[2660, 2862], [2778, 2954], [2551, 3262], [2452, 3165]], [[3335, 1969], [3471, 1997], [3412, 2295], [3289, 2234]], [[2098, 2472], [2174, 2172]], [[2833, 1810], [2732, 1782], [2779, 1605], [2900, 1611]]]"
8,"[[[3161, 4829], [3063, 4782], [3129, 4450], [3232, 4488]], [[3702, 4071], [3652, 3980], [3846, 3685], [3905, 3804]], [[2726, 3513], [2809, 3626], [2374, 3629], [2385, 3559]], [[3180, 2621], [3326, 2779], [3085, 3051], [2975, 2936]], [[2662, 2844], [2784, 2954], [2571, 3273], [2473, 3200]], [[3344, 1984], [3471, 1997], [3413, 2253], [3291, 2215]], [[2181, 2489], [2134, 2125]], [[2827, 1762], [2730, 1757], [2736, 1608], [2891, 1613]]]"
9,"[[[3155, 4842], [3068, 4820], [3117, 4452], [3234, 4512]], [[3691, 4066], [3643, 3981], [3826, 3687], [3888, 3815]], [[2753, 3527], [2836, 3644], [2398, 3636], [2413, 3566]], [[3198, 2624], [3323, 2746], [3094, 3048], [2977, 2914]], [[2674, 2825], [2790, 2920], [2573, 3246], [2478, 3157]], [[3324, 1919], [3465, 1947], [3411, 2211], [3279, 2166]], [[2126, 2456], [2133, 2145]], [[2762, 1681], [2689, 1635], [2701, 1423], [2862, 1476]]]"
