,contours
0,"[[[4088, 5095]], [[2921, 3696], [3037, 3654], [3229, 4002], [3148, 4098]], [[3393, 3887], [3497, 3815], [3636, 4245], [3504, 4228]], [[2608, 3185], [2552, 3288]], [[3889, 2665], [3819, 2848], [3670, 2577], [3809, 2293]], [[3635, 4949], [3768, 4928]], [[4591, 3723], [4311, 3438], [4454, 3177]], [[3846, 5072], [3990, 5003]], [[2781, 3274], [2869, 3236], [3119, 3453], [3049, 3544]], [[3389, 4617], [3493, 4604], [3520, 5010], [3409, 5021]], [[2787, 1561], [2646, 1576]], [[3014, 1321], [2886, 1416], [3031, 956]]]"
1,"[[[4088, 5098]], [[2921, 3696], [3037, 3654], [3229, 4002], [3148, 4098]], [[3393, 3887], [3497, 3815], [3636, 4245], [3504, 4228]], [[2607, 3185], [2552, 3288]], [[3889, 2665], [3819, 2848], [3670, 2577], [3809, 2293]], [[3635, 4949], [3768, 4928]], [[4591, 3723], [4311, 3438], [4454, 3177]], [[3846, 5072], [3990, 5003]], [[2784, 3285], [2883, 3257], [3119, 3453], [3053, 3555]], [[3389, 4617], [3493, 4604], [3520, 5010], [3409, 5021]], [[2782, 1541], [2644, 1548]], [[3012, 1323], [2886, 1416], [3030, 913]]]"
2,"[[[4085, 5088], [4227, 5030]], [[3381, 3866], [3490, 3775], [3629, 4233], [3502, 4218]], [[3901, 2669], [3827, 2855], [3669, 2609], [3815, 2307]], [[2908, 3686], [3026, 3653], [3220, 3988], [3139, 4082]], [[2589, 3164]], [[3637, 4936], [3766, 4909], [3781, 5274], [3636, 5288]], [[4615, 3763], [4332, 3499], [4480, 3203]], [[3849, 5064], [3989, 4995]], [[2789, 3329], [2874, 3269], [3135, 3543], [3069, 3630]], [[3394, 4586], [3488, 4558], [3520, 4997], [3409, 5016]], [[2783, 1564], [2656, 1612]], [[2988, 1424], [2890, 1411]]]"
3,"[[[3376, 3869], [3484, 3779], [3625, 4220], [3497, 4216]], [[4085, 5084], [4227, 5030]], [[2563, 3144]], [[3908, 2699], [3836, 2887], [3679, 2601], [3826, 2317]], [[3640, 4915], [3768, 4892], [3780, 5255], [3636, 5269]], [[2897, 3664], [3006, 3616], [3209, 3963], [3134, 4084]], [[4612, 3746], [4347, 3427], [4484, 3081]], [[3847, 5065], [3989, 4995]], [[3390, 4583], [3487, 4545], [3519, 4960], [3404, 4994]], [[2772, 3308], [2854, 3259], [3117, 3502], [3043, 3576]], [[2783, 1564], [2662, 1630]], [[2992, 1419], [2888, 1413]]]"
4,"[[[3367, 3864], [3476, 3775], [3623, 4203], [3496, 4199]], [[4084, 5081], [4225, 5023]], [[3641, 4911], [3766, 4889], [3780, 5236], [3635, 5257]], [[3920, 2703], [3846, 2893], [3681, 2628], [3834, 2351]], [[2549, 3122]], [[2884, 3654], [2991, 3591], [3205, 3967], [3119, 4040]], [[3846, 5062], [3989, 4995]], [[4374, 3482], [4511, 3125]], [[3386, 4558], [3483, 4517], [3519, 4942], [3402, 4980]], [[2713, 3212], [2815, 3173], [3061, 3386], [3002, 3469]], [[2787, 1561], [2660, 1608]], [[3023, 1309], [2892, 1439], [2922, 1087], [3025, 963]]]"
5,"[[[3367, 3864], [3477, 3774], [3623, 4203], [3494, 4208]], [[4084, 5081], [4225, 5023]], [[3641, 4911], [3767, 4889], [3780, 5236], [3635, 5257]], [[3920, 2703], [3846, 2893], [3681, 2628], [3834, 2351]], [[2549, 3122]], [[2884, 3654], [2991, 3591], [3205, 3967], [3119, 4040]], [[3846, 5062], [3989, 4995]], [[4372, 3483], [4511, 3125]], [[3386, 4558], [3483, 4517], [3519, 4942], [3402, 4980]], [[2713, 3212], [2815, 3173], [3065, 3401], [3002, 3469]], [[2787, 1561], [2660, 1608]], [[3023, 1309], [2892, 1439], [2922, 1087], [3025, 963]]]"
6,"[[[3358, 3851], [3465, 3760], [3611, 4179], [3487, 4187]], [[4084, 5077], [4223, 5016]], [[3928, 2711], [3856, 2899], [3695, 2616], [3845, 2340]], [[3646, 4886], [3774, 4862], [3780, 5226], [3634, 5245]], [[2521, 3091]], [[2867, 3633], [2978, 3589], [3193, 3952], [3115, 4041]], [[4393, 3504], [4556, 3261]], [[3846, 5062], [3988, 4992]], [[3381, 4582], [3481, 4544], [3520, 4916], [3399, 4956]], [[2706, 3223], [2802, 3174], [3051, 3399], [2988, 3456]], [[2781, 1543], [2652, 1593]], [[3021, 1312], [2890, 1441], [2920, 1089], [3022, 922]]]"
7,"[[[3352, 3845], [3461, 3752], [3604, 4162], [3480, 4177]], [[4084, 5077], [4224, 5027]], [[3935, 2732], [3867, 2919], [3698, 2642], [3851, 2334]], [[3645, 4874], [3774, 4855], [3780, 5214], [3634, 5235]], [[2854, 3612], [2962, 3553], [3184, 3925], [3104, 4025]], [[2510, 3092]], [[4411, 3548], [4583, 3272]], [[3846, 5059], [3988, 4988]], [[2695, 3224], [2799, 3196], [3034, 3360], [2975, 3431]], [[3379, 4574], [3477, 4535], [3518, 4887], [3399, 4923]], [[2781, 1543], [2652, 1593]], [[3016, 1319], [2888, 1444], [2918, 1091], [3024, 965]]]"
8,"[[[3345, 3845], [3450, 3737], [3594, 4147], [3474, 4167]], [[4084, 5077], [4223, 5020]], [[3945, 2738], [3877, 2939], [3703, 2653], [3857, 2370]], [[2840, 3591], [2943, 3529], [3172, 3909], [3097, 4008]], [[3646, 4886], [3775, 4854], [3780, 5202], [3635, 5225]], [[3846, 5059], [3988, 4988]], [[4431, 3574], [4585, 3326]], [[2678, 3181], [2774, 3153], [3024, 3352], [2963, 3418]], [[3381, 4569], [3475, 4530], [3517, 4877], [3399, 4911]], [[2779, 1545], [2656, 1612]], [[3018, 1316], [2884, 1418], [3025, 963]]]"
9,"[[[4083, 5070], [4221, 5013]], [[3940, 2754], [3883, 2934], [3708, 2648], [3868, 2359]], [[2829, 3580], [2928, 3508], [3163, 3903], [3087, 3982]], [[3340, 3843], [3445, 3741], [3584, 4122], [3469, 4133]], [[3646, 4873], [3775, 4847], [3779, 5193], [3635, 5216]], [[4445, 3589], [4606, 3341]], [[3847, 5053], [3990, 4984]], [[2508, 3103]], [[2660, 3160], [2733, 3078], [3021, 3357], [2959, 3418]], [[3382, 4560], [3473, 4519], [3516, 4868], [3396, 4900]], [[2779, 1545], [2650, 1594]], [[3019, 1314], [2888, 1413], [3024, 920]]]"
