,contours
0,[]
1,[]
2,[]
3,[]
4,[]
5,[]
6,[]
7,[]
8,[]
9,[]
10,"[[[4075, 5020], [4205, 4970]], [[3942, 3786], [3957, 4099], [3556, 4090], [3580, 3819]], [[4313, 3265], [4325, 3615], [4039, 3642], [4039, 3380]], [[3843, 5028], [3985, 4955]], [[3073, 3728], [3116, 3901], [2723, 3675], [2737, 3519]], [[2723, 2723], [2702, 2364], [3018, 2418], [3041, 2701]], [[3362, 4305], [3401, 4511], [3115, 4360], [3089, 3921]], [[3893, 2629], [4048, 2301], [4318, 2363], [4276, 2493]], [[2619, 2843], [2489, 2905]], [[3998, 3064], [4106, 2831], [4330, 3194], [4179, 3415]], [[3460, 1264], [3290, 1366]], [[4260, 4249], [4289, 3570], [4604, 4484]]]"
11,"[[[4074, 5017], [4206, 4966]], [[3961, 3801], [3975, 4089], [3581, 4103], [3599, 3870]], [[4241, 3149], [4262, 3524], [4071, 3661], [4044, 3333]], [[3106, 3735], [3140, 3882], [2763, 3672], [2785, 3550]], [[3843, 5039], [3989, 4961]], [[3373, 4279], [3416, 4455], [3137, 4345], [3123, 3968]], [[2715, 2748], [2715, 2481], [3015, 2475], [3024, 2698]], [[4012, 2742], [4225, 2434], [4358, 2907], [4186, 3124]], [[3884, 2554], [4040, 2246], [4270, 2483], [4207, 2605]], [[2551, 2603], [2537, 2803]], [[4282, 4150], [4362, 3400], [4536, 4481]], [[2777, 1484]], [[3462, 1262], [3292, 1400]]]"
12,"[[[4075, 5020], [4206, 4966]], [[3960, 3801], [3975, 4089], [3581, 4103], [3599, 3870]], [[4378, 3250], [4361, 3620], [4061, 3640], [4061, 3367]], [[3106, 3735], [3140, 3882], [2763, 3672], [2785, 3550]], [[3843, 5039], [3989, 4961]], [[3373, 4279], [3416, 4455], [3137, 4345], [3123, 3968]], [[2715, 2748], [2716, 2480], [3015, 2475], [3024, 2698]], [[4014, 2740], [4219, 2451], [4358, 2907], [4186, 3124]], [[3878, 2571], [4040, 2246], [4266, 2499], [4199, 2623]], [[2551, 2603], [2537, 2803]], [[4282, 4146], [4368, 3387], [4535, 4481]], [[3467, 1259], [3292, 1400]]]"
