,Unnamed: 0,id,uni_id,contour
0,0,1,0,[]
1,1,2,0,"[[7113, 6996]]"
2,2,3,0,"[[7015, 6182], [7211, 6214], [7309, 6740], [7096, 6763]]"
3,3,4,0,"[[8133, 6004], [8333, 5953]]"
4,4,5,0,"[[5926, 4912], [5683, 4856], [5676, 4572], [5885, 4595]]"
5,5,6,0,[]
6,6,7,0,"[[7765, 5605], [7960, 5588], [7960, 6093], [7766, 6117]]"
7,7,8,0,"[[7281, 4921], [7485, 4859], [7543, 5282], [7340, 5329]]"
8,8,9,0,"[[7993, 4207], [8246, 4169], [8194, 4825], [8000, 4830]]"
9,9,10,0,"[[7432, 3399], [7656, 3317], [7767, 3928], [7512, 3962]]"
10,10,11,0,"[[5881, 6128]]"
11,11,12,0,[]
12,12,13,0,"[[5264, 4439], [5064, 4394], [5070, 4139], [5252, 4145]]"
13,13,14,0,[]
14,14,15,0,[]
15,15,16,0,[]
16,16,17,0,[]
17,17,18,0,"[[6858, 1904], [7055, 1885], [7173, 2080], [7005, 2089]]"
18,18,19,0,[]
19,19,20,0,"[[4943, 2635], [4702, 2636], [4653, 2294], [4809, 2213]]"
20,20,21,0,"[[5552, 2367], [5302, 2317], [5283, 1940], [5495, 1942]]"
21,21,22,0,[]
22,22,23,0,"[[6916, 2736], [7071, 2701], [7163, 3324], [6957, 3355]]"
