,Unnamed: 0,id,uni_id,contour
0,0,1,0,[]
1,1,2,0,"[[6324, 5860]]"
2,2,3,0,"[[5588, 4954], [5260, 4424], [5462, 4445]]"
3,3,4,0,"[[4996, 3900]]"
4,4,5,0,"[[7401, 4924], [7574, 4881], [7597, 5472], [7413, 5527]]"
5,5,6,0,"[[6781, 5319], [6957, 5287], [7052, 5714], [6884, 5723]]"
6,6,7,0,[]
7,7,8,0,"[[7067, 6604], [7275, 6569]]"
8,8,9,0,"[[6493, 5730], [6680, 5669], [6856, 6272], [6668, 6324]]"
9,9,10,0,[]
10,10,11,0,"[[5431, 1456]]"
11,11,12,0,"[[5227, 3009], [5031, 2995], [4992, 2548], [5150, 2484]]"
12,12,13,0,[]
13,13,14,0,"[[6406, 2676], [6583, 2637], [6675, 3143], [6503, 3151]]"
