,id,contour
0,1,"[[327, 792], [324, 795], [318, 795], [291, 822], [291, 825], [279, 837], [279, 840], [273, 846], [273, 849], [270, 852], [270, 855], [267, 858], [267, 861], [264, 864], [264, 870], [261, 873], [261, 876], [258, 879], [258, 882], [255, 885], [255, 888], [252, 891], [252, 984], [255, 987], [255, 990], [258, 993], [261, 993], [264, 996], [273, 996], [276, 993], [279, 993], [282, 990], [285, 990], [294, 981], [300, 981], [303, 978], [321, 978], [324, 981], [384, 981], [387, 984], [399, 984], [402, 987], [414, 987], [417, 990], [423, 990], [426, 993], [444, 993], [447, 996], [450, 993], [453, 993], [465, 981], [465, 978], [468, 975], [468, 969], [471, 966], [471, 963], [474, 960], [474, 957], [477, 954], [477, 951], [510, 918], [513, 918], [516, 915], [519, 915], [522, 912], [522, 909], [525, 906], [525, 834], [522, 831], [522, 828], [501, 807], [498, 807], [495, 804], [489, 804], [483, 798], [480, 798], [474, 792]]"
1,2,"[[507, 456], [504, 459], [495, 459], [495, 462], [492, 465], [489, 465], [462, 492], [459, 492], [435, 516], [432, 516], [429, 519], [429, 522], [423, 528], [423, 531], [420, 534], [420, 708], [423, 711], [423, 723], [426, 726], [429, 726], [432, 729], [438, 729], [444, 735], [447, 735], [450, 738], [453, 735], [513, 735], [516, 732], [579, 732], [582, 729], [618, 729], [621, 726], [624, 726], [627, 723], [630, 723], [630, 720], [636, 714], [636, 711], [639, 708], [639, 705], [642, 702], [642, 699], [645, 696], [645, 693], [648, 690], [648, 684], [651, 681], [651, 675], [654, 672], [654, 666], [657, 663], [657, 633], [660, 630], [660, 606], [663, 603], [663, 519], [669, 513], [675, 513], [678, 510], [678, 483], [675, 480], [672, 480], [660, 468], [657, 468], [648, 459], [645, 459], [642, 456]]"
2,3,"[[675, 768], [672, 771], [663, 771], [654, 780], [651, 780], [633, 798], [633, 801], [627, 807], [627, 810], [624, 813], [624, 825], [621, 828], [621, 831], [615, 837], [615, 840], [612, 843], [612, 852], [609, 855], [609, 858], [606, 861], [606, 864], [603, 867], [603, 870], [600, 873], [600, 882], [597, 885], [597, 891], [591, 897], [591, 900], [588, 903], [588, 975], [591, 978], [591, 984], [594, 987], [594, 990], [600, 996], [600, 999], [606, 1005], [627, 1005], [630, 1002], [633, 1002], [651, 984], [660, 984], [663, 981], [720, 981], [723, 984], [732, 984], [735, 987], [738, 987], [741, 990], [747, 990], [750, 993], [759, 993], [762, 996], [771, 996], [774, 999], [783, 999], [786, 1002], [804, 1002], [807, 1005], [813, 999], [813, 993], [816, 990], [816, 987], [819, 984], [819, 975], [822, 972], [822, 960], [825, 957], [825, 948], [828, 945], [828, 939], [831, 936], [831, 933], [834, 930], [834, 927], [840, 921], [840, 918], [846, 912], [846, 909], [849, 906], [849, 801], [846, 798], [846, 795], [843, 795], [840, 792], [834, 792], [831, 789], [828, 789], [822, 783], [816, 783], [813, 780], [807, 780], [804, 777], [801, 777], [795, 771], [786, 771], [783, 768]]"
3,4,"[[1347, 480], [1344, 483], [1341, 483], [1338, 486], [1335, 486], [1332, 489], [1329, 489], [1326, 492], [1323, 492], [1323, 495], [1320, 498], [1320, 555], [1332, 567], [1332, 570], [1335, 573], [1359, 573], [1362, 570], [1377, 570], [1380, 567], [1398, 567], [1401, 564], [1413, 564], [1416, 567], [1425, 567], [1428, 570], [1437, 570], [1440, 573], [1443, 573], [1449, 567], [1449, 516], [1443, 510], [1443, 507], [1437, 501], [1437, 495], [1422, 480]]"
4,5,"[[1410, 624], [1407, 627], [1404, 627], [1404, 630], [1395, 639], [1392, 639], [1380, 651], [1380, 750], [1383, 753], [1383, 762], [1386, 765], [1386, 777], [1389, 780], [1389, 792], [1392, 795], [1392, 798], [1395, 801], [1422, 801], [1425, 798], [1446, 798], [1449, 795], [1452, 795], [1455, 792], [1479, 792], [1482, 789], [1485, 789], [1488, 792], [1497, 792], [1500, 789], [1515, 789], [1518, 792], [1533, 792], [1536, 795], [1545, 795], [1548, 798], [1569, 798], [1572, 801], [1590, 801], [1590, 795], [1593, 792], [1593, 726], [1590, 723], [1590, 711], [1584, 705], [1584, 702], [1581, 699], [1581, 696], [1578, 693], [1578, 690], [1575, 687], [1575, 684], [1572, 681], [1572, 660], [1575, 657], [1575, 651], [1572, 651], [1569, 648], [1566, 648], [1557, 639], [1554, 639], [1548, 633], [1548, 630], [1545, 627], [1542, 627], [1539, 624]]"
5,6,"[[1098, 624], [1089, 633], [1089, 636], [1086, 639], [1083, 639], [1071, 651], [1071, 666], [1068, 669], [1068, 762], [1074, 768], [1092, 768], [1095, 765], [1107, 765], [1110, 762], [1116, 762], [1119, 759], [1134, 759], [1137, 756], [1149, 756], [1152, 759], [1161, 759], [1164, 756], [1191, 756], [1194, 759], [1200, 759], [1203, 762], [1206, 762], [1209, 765], [1218, 765], [1224, 759], [1224, 756], [1227, 753], [1227, 747], [1230, 744], [1230, 717], [1227, 714], [1227, 702], [1224, 699], [1224, 687], [1221, 684], [1221, 663], [1224, 660], [1224, 657], [1227, 654], [1218, 645], [1218, 642], [1215, 639], [1212, 639], [1200, 627], [1197, 627], [1194, 624]]"
6,7,"[[1464, 300], [1461, 303], [1455, 303], [1455, 306], [1452, 309], [1452, 429], [1455, 432], [1455, 438], [1458, 438], [1461, 441], [1500, 441], [1503, 438], [1518, 438], [1521, 441], [1542, 441], [1545, 444], [1557, 444], [1560, 441], [1566, 441], [1584, 423], [1584, 417], [1587, 414], [1587, 405], [1590, 402], [1590, 399], [1587, 396], [1587, 387], [1584, 384], [1584, 372], [1581, 369], [1581, 357], [1578, 354], [1578, 351], [1575, 348], [1575, 345], [1572, 342], [1572, 336], [1569, 333], [1569, 315], [1554, 300]]"
7,8,"[[1335, 384], [1323, 396], [1323, 399], [1320, 402], [1320, 459], [1326, 465], [1350, 465], [1353, 462], [1389, 462], [1392, 465], [1395, 465], [1401, 459], [1401, 453], [1404, 450], [1404, 444], [1407, 441], [1407, 432], [1404, 429], [1404, 420], [1401, 417], [1401, 396], [1392, 387], [1389, 387], [1386, 384]]"
8,9,"[[1107, 456], [1104, 459], [1101, 459], [1095, 465], [1095, 468], [1092, 471], [1092, 537], [1095, 540], [1095, 546], [1101, 546], [1104, 543], [1110, 543], [1113, 540], [1140, 540], [1143, 537], [1152, 537], [1155, 540], [1158, 540], [1161, 537], [1170, 537], [1173, 540], [1185, 540], [1188, 543], [1194, 543], [1194, 540], [1197, 537], [1197, 468], [1194, 465], [1194, 462], [1191, 459], [1188, 459], [1185, 456]]"
9,10,"[[1128, 324], [1125, 327], [1122, 327], [1119, 330], [1119, 333], [1116, 336], [1116, 363], [1122, 369], [1149, 369], [1152, 372], [1158, 372], [1161, 375], [1170, 375], [1173, 372], [1179, 372], [1188, 363], [1188, 357], [1191, 354], [1191, 348], [1188, 345], [1188, 342], [1185, 339], [1185, 336], [1182, 333], [1179, 333], [1176, 330], [1176, 327], [1173, 327], [1170, 324]]"
