,id,contour
0,1,[]
1,2,"[[643,750],[785,757],[688,861],[522,853]]"
2,3,"[[757,643],[880,644],[825,716],[693,713]]"
3,4,"[[1471,637],[1599,637],[1630,691],[1492,691]]"
4,5,"[[447,536],[353,534],[399,507],[483,507]]"
5,6,"[[1202,768],[1359,775],[1356,883],[1166,874]]"
6,7,"[[1239,592],[1357,593],[1360,642],[1231,640]]"
7,8,"[[1031,536],[1129,536],[1135,563],[1032,563]]"
8,9,"[[1382,502],[1474,501],[1502,541],[1400,541]]"
9,10,"[[1178,459],[1259,457],[1286,485],[1190,485]]"
10,11,"[[11,709],[10,697],[14,653],[128,664]]"
11,12,[]
12,13,"[[246,500],[164,499],[213,475],[284,476]]"
13,14,"[[11,907],[0,889],[26,787],[177,800]]"
14,15,"[[1688,341],[1530,342],[1578,260],[1691,258]]"
15,16,[]
16,17,"[[457,369],[395,372],[440,322],[506,318]]"
17,18,"[[1049,404],[1107,405],[1125,411],[1059,410]]"
18,19,"[[680,324],[612,323],[615,310],[683,310]]"
19,20,"[[383,420],[309,419],[344,408],[402,407]]"
20,21,"[[607,411],[539,410],[577,400],[633,401]]"
21,22,"[[678,312],[592,310],[589,289],[687,291]]"
22,23,"[[997,431],[1071,431],[1082,454],[1000,454]]"
