,id,contour
0,1,"[[609, 669], [606, 672], [598, 672], [593, 677], [590, 677], [577, 690], [574, 690], [571, 693], [571, 696], [563, 704], [563, 707], [560, 709], [560, 712], [552, 720], [552, 723], [547, 728], [547, 731], [544, 734], [542, 734], [539, 736], [539, 739], [528, 750], [528, 769], [531, 771], [531, 774], [533, 777], [544, 777], [547, 779], [550, 779], [552, 782], [555, 782], [558, 785], [563, 785], [566, 788], [569, 788], [577, 796], [579, 796], [590, 806], [593, 806], [604, 817], [606, 817], [609, 820], [612, 820], [620, 828], [633, 828], [636, 831], [644, 831], [647, 833], [652, 833], [655, 836], [660, 836], [663, 839], [706, 839], [709, 836], [709, 833], [714, 828], [717, 828], [720, 825], [720, 817], [722, 815], [722, 809], [738, 793], [741, 793], [744, 790], [747, 790], [749, 788], [752, 788], [755, 785], [757, 785], [760, 782], [763, 782], [768, 777], [771, 777], [774, 774], [774, 771], [782, 763], [782, 758], [784, 755], [784, 726], [782, 723], [782, 715], [776, 709], [776, 707], [774, 704], [774, 701], [763, 690], [760, 690], [757, 688], [752, 688], [747, 682], [744, 682], [741, 680], [738, 680], [736, 677], [730, 677], [728, 674], [720, 674], [717, 672], [703, 672], [701, 669]]"
1,2,"[[196, 421], [183, 434], [183, 437], [177, 442], [175, 442], [172, 445], [172, 480], [177, 486], [183, 486], [186, 488], [229, 488], [231, 486], [234, 488], [245, 488], [248, 491], [253, 491], [256, 488], [256, 486], [258, 483], [261, 483], [264, 480], [272, 480], [277, 475], [277, 472], [280, 469], [280, 464], [283, 461], [283, 459], [285, 456], [285, 448], [283, 445], [283, 442], [280, 440], [280, 437], [277, 434], [277, 432], [269, 423], [266, 423], [264, 421]]"
2,3,"[[1046, 475], [1043, 477], [1038, 477], [1038, 486], [1035, 488], [1035, 545], [1038, 548], [1059, 548], [1062, 545], [1065, 548], [1111, 548], [1113, 550], [1127, 550], [1129, 548], [1129, 542], [1132, 539], [1132, 537], [1135, 534], [1135, 518], [1132, 515], [1132, 504], [1129, 502], [1129, 491], [1119, 480], [1119, 477], [1116, 475]]"
3,4,"[[1213, 669], [1210, 672], [1208, 672], [1208, 674], [1205, 677], [1205, 680], [1200, 685], [1200, 688], [1194, 693], [1194, 696], [1192, 699], [1192, 701], [1189, 704], [1189, 709], [1186, 712], [1186, 726], [1183, 728], [1183, 734], [1181, 736], [1181, 739], [1178, 742], [1178, 747], [1175, 750], [1175, 820], [1178, 823], [1178, 831], [1181, 833], [1192, 833], [1194, 836], [1208, 836], [1210, 839], [1213, 839], [1216, 836], [1224, 836], [1227, 833], [1256, 833], [1259, 836], [1289, 836], [1291, 839], [1297, 839], [1307, 850], [1310, 850], [1313, 852], [1318, 852], [1321, 855], [1345, 855], [1348, 852], [1351, 852], [1353, 850], [1353, 847], [1356, 844], [1356, 836], [1359, 833], [1359, 825], [1361, 823], [1361, 820], [1364, 817], [1364, 798], [1367, 796], [1367, 782], [1364, 779], [1364, 761], [1361, 758], [1364, 755], [1364, 728], [1367, 726], [1367, 715], [1370, 712], [1370, 709], [1372, 707], [1372, 704], [1370, 701], [1370, 699], [1359, 688], [1356, 688], [1345, 677], [1345, 674], [1343, 672], [1337, 672], [1334, 669]]"
4,5,"[[695, 885], [693, 887], [690, 887], [682, 895], [679, 895], [658, 917], [658, 920], [655, 922], [655, 928], [652, 930], [652, 933], [639, 947], [639, 949], [636, 952], [636, 963], [641, 968], [768, 968], [771, 966], [774, 968], [809, 968], [811, 966], [927, 966], [933, 960], [933, 939], [927, 933], [927, 930], [925, 928], [925, 922], [919, 917], [916, 917], [914, 914], [911, 914], [906, 909], [900, 909], [898, 906], [892, 906], [889, 904], [887, 904], [879, 895], [876, 895], [873, 893], [871, 893], [865, 887], [860, 887], [857, 885]]"
5,6,"[[16, 701], [10, 707], [10, 877], [13, 879], [13, 882], [16, 885], [21, 885], [24, 882], [43, 882], [45, 879], [48, 879], [48, 877], [51, 874], [51, 868], [53, 866], [53, 863], [59, 858], [59, 855], [72, 841], [75, 841], [78, 839], [80, 839], [88, 831], [91, 831], [94, 828], [99, 828], [110, 817], [140, 817], [142, 815], [145, 815], [145, 812], [148, 809], [148, 804], [151, 801], [151, 793], [156, 788], [156, 785], [159, 782], [159, 771], [161, 769], [161, 739], [159, 736], [159, 723], [156, 720], [156, 717], [153, 715], [151, 715], [148, 712], [145, 712], [142, 709], [140, 709], [137, 707], [134, 707], [132, 704], [129, 704], [126, 701], [64, 701], [62, 704], [40, 704], [37, 701]]"
6,7,"[[1402, 442], [1399, 445], [1394, 445], [1386, 453], [1383, 453], [1380, 456], [1380, 504], [1383, 507], [1383, 510], [1391, 518], [1394, 518], [1396, 521], [1399, 521], [1402, 523], [1413, 523], [1415, 521], [1423, 521], [1426, 518], [1469, 518], [1472, 521], [1480, 521], [1483, 523], [1494, 523], [1494, 518], [1496, 515], [1496, 469], [1494, 467], [1494, 464], [1485, 456], [1485, 453], [1483, 453], [1472, 442]]"
7,8,"[[337, 356], [334, 359], [331, 359], [326, 364], [326, 367], [323, 370], [323, 405], [326, 407], [326, 410], [366, 410], [369, 413], [374, 413], [377, 410], [382, 410], [385, 407], [388, 407], [391, 405], [393, 405], [393, 402], [396, 399], [396, 388], [399, 386], [399, 380], [396, 378], [396, 367], [393, 364], [393, 361], [391, 359], [385, 359], [382, 356]]"
8,9,"[[444, 777], [442, 779], [439, 779], [436, 782], [434, 782], [431, 785], [428, 785], [426, 788], [423, 788], [412, 798], [409, 798], [407, 801], [407, 804], [404, 806], [401, 806], [385, 823], [385, 825], [380, 831], [380, 833], [377, 836], [377, 839], [374, 841], [374, 847], [366, 855], [366, 858], [358, 866], [358, 871], [355, 874], [355, 930], [358, 933], [358, 941], [361, 944], [407, 944], [409, 947], [431, 947], [434, 949], [439, 949], [447, 957], [450, 957], [453, 960], [474, 960], [477, 963], [485, 963], [488, 966], [547, 966], [555, 957], [555, 955], [566, 944], [569, 944], [569, 941], [571, 939], [574, 939], [577, 936], [579, 936], [587, 928], [590, 928], [593, 925], [596, 925], [598, 922], [609, 922], [620, 912], [620, 906], [622, 904], [622, 882], [625, 879], [625, 858], [622, 855], [622, 841], [620, 839], [620, 833], [612, 825], [612, 823], [609, 820], [606, 820], [598, 812], [596, 812], [566, 782], [563, 782], [560, 779], [536, 779], [533, 777]]"
9,10,"[[16, 583], [10, 588], [10, 682], [13, 685], [13, 688], [16, 690], [18, 690], [21, 688], [32, 688], [35, 685], [37, 685], [40, 682], [43, 682], [45, 680], [48, 680], [51, 677], [56, 677], [59, 674], [62, 674], [64, 672], [67, 672], [70, 669], [83, 669], [86, 672], [88, 672], [91, 669], [94, 669], [97, 666], [102, 666], [102, 663], [105, 661], [105, 658], [110, 653], [110, 637], [113, 634], [113, 612], [110, 610], [110, 607], [105, 601], [105, 596], [102, 593], [97, 593], [88, 585], [83, 585], [80, 583]]"
10,11,"[[1299, 291], [1294, 297], [1294, 397], [1297, 399], [1297, 405], [1299, 405], [1321, 426], [1324, 426], [1329, 432], [1334, 432], [1337, 434], [1348, 434], [1351, 437], [1370, 437], [1372, 434], [1418, 434], [1421, 437], [1442, 437], [1445, 434], [1448, 434], [1450, 432], [1450, 405], [1453, 402], [1453, 329], [1450, 326], [1450, 324], [1445, 318], [1445, 316], [1440, 310], [1437, 310], [1434, 308], [1432, 308], [1429, 305], [1426, 305], [1415, 294], [1410, 294], [1407, 291]]"
