,id,contour
0,1,"[[35, 518], [32, 521], [26, 521], [21, 526], [18, 526], [10, 534], [10, 634], [13, 637], [13, 642], [16, 645], [18, 645], [21, 642], [35, 642], [37, 639], [40, 639], [43, 642], [64, 642], [67, 645], [78, 645], [80, 642], [83, 642], [91, 634], [94, 634], [105, 623], [110, 623], [113, 620], [118, 620], [121, 618], [124, 618], [126, 615], [132, 615], [134, 612], [142, 612], [145, 610], [148, 610], [151, 607], [153, 607], [159, 601], [159, 591], [161, 588], [161, 558], [159, 556], [159, 542], [153, 537], [151, 537], [148, 534], [148, 531], [145, 531], [142, 529], [137, 529], [134, 526], [132, 526], [126, 521], [124, 521], [121, 518]]"
1,2,"[[369, 421], [366, 423], [364, 423], [355, 432], [355, 434], [347, 442], [347, 445], [315, 477], [315, 480], [312, 483], [312, 518], [315, 521], [315, 523], [318, 523], [320, 526], [353, 526], [355, 523], [364, 523], [366, 521], [391, 521], [393, 523], [409, 523], [412, 526], [426, 526], [426, 523], [436, 512], [439, 512], [444, 507], [450, 507], [453, 504], [455, 504], [469, 491], [469, 486], [471, 483], [471, 456], [469, 453], [469, 448], [463, 442], [463, 440], [461, 437], [461, 434], [447, 421]]"
2,3,"[[428, 539], [426, 542], [423, 542], [420, 545], [420, 550], [418, 553], [418, 556], [409, 564], [409, 566], [401, 574], [401, 577], [399, 580], [399, 583], [391, 591], [391, 593], [388, 596], [388, 685], [391, 688], [391, 693], [393, 696], [399, 696], [401, 693], [418, 693], [420, 690], [434, 690], [436, 688], [528, 688], [531, 685], [533, 685], [536, 682], [536, 680], [542, 674], [542, 672], [555, 658], [558, 658], [566, 650], [566, 647], [569, 645], [569, 585], [566, 583], [566, 580], [563, 577], [563, 574], [560, 574], [555, 569], [552, 569], [544, 561], [542, 561], [523, 542], [517, 542], [515, 539]]"
3,4,"[[563, 356], [550, 370], [547, 370], [547, 372], [544, 375], [542, 375], [542, 378], [539, 380], [539, 405], [544, 410], [571, 410], [574, 407], [620, 407], [622, 405], [628, 405], [641, 391], [641, 370], [633, 361], [633, 359], [631, 356]]"
4,5,"[[941, 669], [938, 672], [933, 672], [930, 674], [930, 680], [927, 682], [927, 688], [925, 690], [925, 693], [922, 696], [922, 699], [916, 704], [916, 709], [914, 712], [914, 717], [911, 720], [911, 723], [908, 726], [908, 731], [906, 734], [906, 844], [908, 847], [908, 852], [911, 855], [941, 855], [943, 852], [949, 852], [951, 850], [954, 850], [962, 841], [976, 841], [978, 839], [1059, 839], [1062, 841], [1073, 841], [1076, 839], [1081, 839], [1081, 836], [1084, 833], [1084, 823], [1086, 820], [1086, 796], [1089, 793], [1086, 790], [1086, 752], [1084, 750], [1084, 734], [1081, 731], [1081, 726], [1078, 723], [1078, 720], [1076, 717], [1076, 709], [1070, 704], [1070, 693], [1067, 690], [1067, 688], [1065, 685], [1065, 677], [1062, 674], [1062, 672], [1059, 672], [1057, 669]]"
5,6,"[[1059, 356], [1057, 359], [1057, 421], [1059, 423], [1059, 426], [1070, 426], [1073, 423], [1078, 423], [1081, 421], [1113, 421], [1116, 423], [1127, 423], [1138, 413], [1138, 388], [1135, 386], [1135, 378], [1132, 375], [1132, 367], [1129, 364], [1129, 361], [1124, 356]]"
6,7,"[[129, 820], [126, 823], [121, 823], [94, 850], [94, 852], [86, 860], [86, 866], [75, 877], [75, 879], [72, 882], [72, 885], [62, 895], [62, 898], [53, 906], [53, 909], [35, 928], [35, 930], [32, 933], [32, 963], [37, 968], [83, 968], [86, 966], [288, 966], [291, 963], [296, 963], [307, 952], [310, 952], [318, 944], [320, 944], [326, 939], [329, 939], [342, 925], [342, 922], [345, 920], [345, 914], [347, 912], [347, 906], [350, 904], [350, 855], [345, 850], [345, 844], [342, 841], [342, 839], [334, 831], [331, 831], [326, 825], [323, 825], [320, 823], [315, 823], [312, 820]]"
7,8,"[[1432, 475], [1429, 477], [1423, 477], [1418, 483], [1415, 483], [1413, 486], [1410, 486], [1399, 496], [1396, 496], [1386, 507], [1383, 507], [1383, 510], [1380, 512], [1380, 558], [1383, 561], [1383, 566], [1386, 569], [1388, 569], [1405, 585], [1405, 588], [1407, 588], [1413, 593], [1413, 596], [1415, 599], [1429, 599], [1432, 596], [1442, 596], [1445, 593], [1523, 593], [1526, 596], [1537, 596], [1537, 591], [1539, 588], [1539, 583], [1542, 580], [1542, 545], [1539, 542], [1539, 531], [1537, 529], [1537, 526], [1531, 521], [1531, 518], [1529, 515], [1529, 510], [1496, 477], [1494, 477], [1491, 475]]"
8,9,"[[1297, 378], [1291, 383], [1291, 386], [1289, 388], [1286, 388], [1286, 391], [1283, 394], [1283, 434], [1297, 448], [1307, 448], [1310, 445], [1316, 445], [1318, 442], [1364, 442], [1367, 445], [1370, 445], [1372, 448], [1375, 448], [1375, 445], [1378, 442], [1378, 434], [1380, 432], [1380, 421], [1378, 418], [1378, 391], [1375, 388], [1375, 386], [1370, 380], [1367, 380], [1364, 378]]"
9,10,"[[253, 378], [250, 380], [240, 380], [237, 383], [237, 388], [234, 391], [234, 397], [237, 399], [237, 402], [234, 405], [234, 407], [218, 423], [218, 429], [215, 432], [215, 472], [218, 475], [218, 477], [221, 480], [231, 480], [234, 477], [242, 477], [245, 475], [277, 475], [280, 472], [285, 472], [288, 475], [299, 475], [302, 477], [307, 477], [310, 475], [312, 475], [315, 472], [318, 472], [320, 469], [320, 467], [326, 461], [329, 461], [331, 459], [331, 456], [334, 453], [337, 453], [342, 448], [342, 445], [347, 440], [350, 440], [350, 437], [366, 421], [366, 418], [369, 415], [369, 410], [366, 407], [366, 402], [364, 399], [364, 391], [361, 388], [358, 388], [355, 386], [355, 383], [350, 378]]"
